"ensembl" "SUM149_JQ1_12H_R2" "SUM149_JQ1_12H_R1" "SUM149_DMSO_12H_R2" "SUM149_DMSO_12H_R1"
"ENSG00000223972" 0 0 0 0
"ENSG00000227232" 0 0 0 0
"ENSG00000278267" 0 0 0 0
"ENSG00000243485" 0 0 0 0
"ENSG00000284332" 0 0 0 0
"ENSG00000237613" 0 0 0 0
"ENSG00000268020" 0 0 0 0
"ENSG00000240361" 0 0 0 0
"ENSG00000186092" 0 0 0 0
"ENSG00000238009" 0 0 0 1
"ENSG00000239945" 0 0 0 0
"ENSG00000233750" 0 0 0 0
"ENSG00000268903" 3 4 7 8
"ENSG00000269981" 1 2 4 14
"ENSG00000239906" 0 0 0 0
"ENSG00000241860" 0 0 2 3
"ENSG00000222623" 0 0 0 0
"ENSG00000241599" 0 0 0 0
"ENSG00000279928" 0 1 0 0
"ENSG00000279457" 15 13 22 24
"ENSG00000273874" 0 0 0 0
"ENSG00000228463" 4 0 0 3
"ENSG00000236679" 0 0 0 0
"ENSG00000236601" 0 0 0 0
"ENSG00000237094" 5 3 6 6
"ENSG00000269732" 0 0 0 0
"ENSG00000284733" 0 0 0 0
"ENSG00000233653" 0 0 0 0
"ENSG00000250575" 0 0 0 0
"ENSG00000278757" 0 0 0 0
"ENSG00000230021" 1 0 1 2
"ENSG00000235146" 0 0 0 0
"ENSG00000225972" 3371 3004 2756 3944
"ENSG00000225630" 2517 2939 2828 4061
"ENSG00000237973" 5716 5564 5342 7538
"ENSG00000278791" 0 0 0 0
"ENSG00000229344" 43 50 63 64
"ENSG00000240409" 13 18 20 19
"ENSG00000248527" 11716 12701 10196 14363
"ENSG00000198744" 84 83 79 92
"ENSG00000268663" 0 0 0 0
"ENSG00000284662" 0 0 0 0
"ENSG00000229376" 3 2 3 2
"ENSG00000228327" 29 28 22 42
"ENSG00000223181" 0 0 0 0
"ENSG00000229905" 0 0 0 0
"ENSG00000237491" 32 40 16 41
"ENSG00000285268" 0 0 0 0
"ENSG00000230092" 6 3 3 5
"ENSG00000177757" 5 15 5 12
"ENSG00000228794" 234 213 137 238
"ENSG00000225880" 8 17 21 17
"ENSG00000230368" 1 1 0 0
"ENSG00000234711" 2 5 0 0
"ENSG00000283040" 0 0 0 0
"ENSG00000272438" 0 0 0 0
"ENSG00000230699" 0 2 0 0
"ENSG00000241180" 0 0 0 0
"ENSG00000223764" 19 16 26 43
"ENSG00000187634" 18 16 76 158
"ENSG00000188976" 7115 6408 5826 9012
"ENSG00000187961" 610 487 1092 1814
"ENSG00000187583" 408 343 362 601
"ENSG00000187642" 83 67 95 131
"ENSG00000272512" 4 5 11 7
"ENSG00000188290" 215 217 298 452
"ENSG00000187608" 1274 1125 640 1033
"ENSG00000231702" 2 0 0 0
"ENSG00000224969" 5 3 5 10
"ENSG00000188157" 19486 18646 8586 14239
"ENSG00000242590" 0 0 0 0
"ENSG00000217801" 192 187 105 128
"ENSG00000273443" 71 57 21 37
"ENSG00000237330" 231 199 46 73
"ENSG00000131591" 320 354 452 695
"ENSG00000223823" 0 0 0 0
"ENSG00000207730" 3 3 2 4
"ENSG00000207607" 11 4 1 3
"ENSG00000198976" 10 5 6 6
"ENSG00000272141" 179 168 82 135
"ENSG00000205231" 14 14 9 14
"ENSG00000162571" 52 39 17 28
"ENSG00000186891" 94 89 321 521
"ENSG00000186827" 6 2 1 5
"ENSG00000078808" 3787 3688 4236 6844
"ENSG00000176022" 630 562 854 1397
"ENSG00000184163" 65 68 20 51
"ENSG00000260179" 15 7 9 15
"ENSG00000160087" 1965 1730 1552 2324
"ENSG00000230415" 21 22 15 24
"ENSG00000162572" 242 214 121 194
"ENSG00000131584" 3413 3219 1673 2740
"ENSG00000278073" 0 0 1 0
"ENSG00000169972" 614 619 551 951
"ENSG00000127054" 4756 4459 2777 4355
"ENSG00000283712" 0 0 0 0
"ENSG00000240731" 116 131 108 140
"ENSG00000224051" 1305 1231 1057 1658
"ENSG00000169962" 88 82 97 147
"ENSG00000107404" 4338 4126 5456 8952
"ENSG00000284372" 0 0 0 0
"ENSG00000162576" 618 604 221 399
"ENSG00000175756" 4177 3852 3415 5270
"ENSG00000223663" 1 4 2 4
"ENSG00000221978" 7297 7011 4495 6494
"ENSG00000224870" 1167 1047 686 1018
"ENSG00000242485" 2079 1987 2092 3131
"ENSG00000264293" 0 0 0 0
"ENSG00000272455" 78 81 69 99
"ENSG00000235098" 2 1 0 0
"ENSG00000225905" 0 0 0 1
"ENSG00000205116" 0 0 1 0
"ENSG00000225285" 0 0 4 5
"ENSG00000179403" 354 285 311 592
"ENSG00000215915" 3 6 1 10
"ENSG00000160072" 1063 962 1364 2170
"ENSG00000284740" 4 1 0 4
"ENSG00000197785" 1297 1203 1346 2183
"ENSG00000205090" 24 25 19 33
"ENSG00000160075" 3691 3353 4352 6074
"ENSG00000215014" 37 31 19 29
"ENSG00000274481" 0 0 0 0
"ENSG00000228594" 440 391 915 1562
"ENSG00000272106" 136 131 72 99
"ENSG00000197530" 1904 1725 1060 1697
"ENSG00000189409" 1 0 0 0
"ENSG00000248333" 1359 1122 901 1450
"ENSG00000272004" 0 0 0 0
"ENSG00000189339" 1041 1016 616 973
"ENSG00000269737" 47 35 34 32
"ENSG00000215914" 1 0 0 0
"ENSG00000008128" 143 152 76 111
"ENSG00000268575" 5 8 10 9
"ENSG00000227775" 8 10 16 8
"ENSG00000215790" 169 148 68 122
"ENSG00000008130" 2819 2567 1804 2686
"ENSG00000078369" 8879 8345 10106 14626
"ENSG00000231050" 18 14 17 27
"ENSG00000169885" 20 7 1 1
"ENSG00000178821" 112 93 42 52
"ENSG00000142609" 13 15 8 17
"ENSG00000233542" 2 0 3 3
"ENSG00000187730" 1 3 0 0
"ENSG00000226969" 0 0 0 0
"ENSG00000067606" 411 357 288 398
"ENSG00000271806" 4 5 2 0
"ENSG00000182873" 52 54 60 94
"ENSG00000162585" 849 778 1068 1743
"ENSG00000234396" 1 0 0 0
"ENSG00000157933" 4309 3997 2530 3918
"ENSG00000116151" 395 393 170 287
"ENSG00000272161" 0 0 0 0
"ENSG00000269896" 11 7 2 6
"ENSG00000272420" 0 1 1 4
"ENSG00000157916" 4928 4537 2966 4396
"ENSG00000157911" 517 479 1096 1775
"ENSG00000149527" 22 16 16 18
"ENSG00000224387" 0 0 0 0
"ENSG00000229393" 0 0 0 0
"ENSG00000157881" 917 845 862 1328
"ENSG00000197921" 1 0 0 0
"ENSG00000272449" 64 66 20 32
"ENSG00000238164" 1 1 1 1
"ENSG00000157873" 11 9 46 71
"ENSG00000225931" 0 0 0 0
"ENSG00000228037" 2 1 1 0
"ENSG00000157870" 519 489 846 1305
"ENSG00000142606" 0 1 0 0
"ENSG00000237058" 0 0 0 0
"ENSG00000215912" 14 13 7 13
"ENSG00000283259" 1 0 0 0
"ENSG00000233234" 0 0 0 0
"ENSG00000231630" 0 0 0 0
"ENSG00000284745" 0 0 0 1
"ENSG00000169717" 0 1 0 1
"ENSG00000177133" 2 0 0 0
"ENSG00000142611" 3 2 0 1
"ENSG00000283572" 0 0 0 0
"ENSG00000226286" 0 0 0 0
"ENSG00000279839" 0 0 0 0
"ENSG00000272235" 0 0 0 0
"ENSG00000130762" 410 378 944 1583
"ENSG00000272088" 0 0 0 2
"ENSG00000162591" 318 292 45 63
"ENSG00000207776" 0 0 0 0
"ENSG00000238260" 7 7 7 6
"ENSG00000158109" 1259 1171 1009 1512
"ENSG00000116213" 1163 1091 968 1523
"ENSG00000078900" 0 4 4 9
"ENSG00000227589" 1 0 0 0
"ENSG00000235131" 0 0 0 0
"ENSG00000227372" 1161 1028 887 1297
"ENSG00000276189" 0 0 0 0
"ENSG00000162592" 0 0 0 0
"ENSG00000235169" 6 7 10 11
"ENSG00000130764" 2604 2328 2099 3197
"ENSG00000266075" 3 8 3 8
"ENSG00000272153" 53 68 24 62
"ENSG00000116198" 2507 2500 1455 2140
"ENSG00000169598" 200 189 429 498
"ENSG00000198912" 676 619 689 972
"ENSG00000236423" 46 32 10 23
"ENSG00000233304" 1 1 0 1
"ENSG00000226374" 0 1 0 0
"ENSG00000284668" 0 0 0 0
"ENSG00000284703" 2 1 0 0
"ENSG00000229280" 1 1 0 0
"ENSG00000235054" 2 0 0 0
"ENSG00000284694" 3 0 0 0
"ENSG00000227169" 0 0 0 0
"ENSG00000232596" 1 1 0 0
"ENSG00000196581" 6 4 0 2
"ENSG00000284739" 0 0 0 0
"ENSG00000284674" 0 0 0 0
"ENSG00000231510" 0 0 0 0
"ENSG00000284616" 0 0 0 0
"ENSG00000284692" 1 1 0 0
"ENSG00000284666" 0 0 0 0
"ENSG00000260972" 1 3 0 0
"ENSG00000283356" 0 0 0 0
"ENSG00000236948" 0 1 0 0
"ENSG00000264341" 0 0 0 0
"ENSG00000264101" 1 0 0 1
"ENSG00000131697" 1501 1465 749 1272
"ENSG00000069424" 1148 1045 573 912
"ENSG00000116254" 65 71 48 75
"ENSG00000116251" 2981 2947 3600 5395
"ENSG00000226944" 8 1 4 3
"ENSG00000158286" 388 330 413 636
"ENSG00000116237" 4917 4860 4592 6399
"ENSG00000225077" 9 14 7 14
"ENSG00000173673" 0 0 0 0
"ENSG00000158292" 480 458 508 764
"ENSG00000097021" 3706 3381 2654 4100
"ENSG00000271746" 0 0 0 0
"ENSG00000069812" 162 142 82 132
"ENSG00000187017" 2249 2140 822 1447
"ENSG00000265392" 0 0 0 0
"ENSG00000231868" 21 13 10 12
"ENSG00000215788" 52 61 47 55
"ENSG00000171680" 17 21 142 237
"ENSG00000162408" 1190 1185 1350 1940
"ENSG00000253022" 0 0 0 0
"ENSG00000229519" 8 4 7 4
"ENSG00000173662" 8 0 2 2
"ENSG00000204859" 789 722 422 714
"ENSG00000162413" 3594 3532 1853 2766
"ENSG00000116273" 404 372 899 1372
"ENSG00000041988" 431 370 310 443
"ENSG00000007923" 1902 1725 2532 3633
"ENSG00000228750" 0 2 0 0
"ENSG00000284744" 0 0 0 0
"ENSG00000237436" 25 23 11 9
"ENSG00000171735" 803 727 794 1057
"ENSG00000227950" 0 0 0 0
"ENSG00000237365" 0 0 0 0
"ENSG00000207056" 1 0 0 0
"ENSG00000237402" 1 0 1 1
"ENSG00000237728" 1 0 0 1
"ENSG00000225126" 0 0 0 0
"ENSG00000270171" 0 0 0 0
"ENSG00000270035" 0 0 1 0
"ENSG00000269978" 0 0 0 0
"ENSG00000049245" 3598 3433 2470 3315
"ENSG00000269925" 21 19 25 37
"ENSG00000049246" 27 24 20 28
"ENSG00000236266" 1 0 0 1
"ENSG00000049247" 0 3 1 7
"ENSG00000049249" 2 5 3 5
"ENSG00000270330" 1 2 0 0
"ENSG00000116288" 10536 9793 9512 13225
"ENSG00000200344" 5 1 3 3
"ENSG00000284747" 61 60 26 42
"ENSG00000284716" 2 6 4 3
"ENSG00000116285" 4661 4630 6424 8889
"ENSG00000238290" 12 8 13 15
"ENSG00000232848" 2 1 2 3
"ENSG00000229305" 1 0 1 2
"ENSG00000227634" 12 15 12 16
"ENSG00000200975" 0 0 0 0
"ENSG00000233645" 0 0 1 0
"ENSG00000251977" 0 0 0 0
